                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x76e4cfb91010, 2000000 allocated for zone
Using /home/jp/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/jp/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
        You may need to run the program as root in order
        to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-08 10:38:41 Episode: 1 Map: 5
timestamp        tic     x       y       z       angle   momx    momy
2025-11-08 10:38:41      171     -224   -624    0        85.78   -1     -2      0
2025-11-08 10:38:43      206     -192   -594    0        187.03  -1     0       0
2025-11-08 10:38:44      241     -281   -627    0        2.81    2      2       0
When: 2025-11-08 10:38:45 Episode: 1 Map: 1
timestamp        tic     x       y       z       angle   momx    momy
2025-11-08 10:38:47      319     1057   -3603   0        84.73   0      4       0
2025-11-08 10:38:48      354     991    -3480   0        146.25  -3     2       0
2025-11-08 10:38:49      389     827    -3471   0        204.26  -4     -1      0
2025-11-08 10:38:50      424     739    -3499   0        200.74  0      0       0
2025-11-08 10:38:51      459     766    -3444   0        119.88  -4     4       0
2025-11-08 10:38:52      494     718    -3339   0        122.52  -2     4       0
2025-11-08 10:38:53      529     600    -3239   -8       173.50  -7     1       0
2025-11-08 10:38:54      564     399    -3343   -8       282.48  -1     -8      0
2025-11-08 10:38:55      599     350    -3436   -8       196.35  -6     -3      0
2025-11-08 10:38:56      634     157    -3405   -8       173.50  -8     2       0
2025-11-08 10:38:57      669     101    -3366   -8       85.61   0      5       0
2025-11-08 10:38:58      704     203    -3281   -8       352.44  3      -1      0
2025-11-08 10:38:59      739     382    -3306   -8       68.03   1      -1      0
2025-11-08 10:39:00      774     308    -3197   8        191.07  -5     2       0
2025-11-08 10:39:01      809     55     -3254   104      162.95  -13    0       0
2025-11-08 10:39:02      844     -166   -3227   104      168.22  -10    1       0
