jp@jp-MS-7C91:~/Documents/trajectory_doom-main/chocolate-doom$ src/chocolate-doom -iwad ../misc/OriginalWADs/DOOM.WAD
                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x746ace144010, 2000000 allocated for zone
Using /home/jp/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/jp/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
        You may need to run the program as root in order
        to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-10 16:28:47 Episode: 1 Map: 5
timestamp        tic     x       y       z       angle   momx    momy
2025-11-10 16:28:47      171     -224   -624    0        85.78   -1     -2      0
2025-11-10 16:28:49      206     -192   -594    0        187.03  -1     0       0
When: 2025-11-10 16:28:50 Episode: 1 Map: 3
timestamp        tic     x       y       z       angle   momx    momy
2025-11-10 16:28:51      241     -1675  -951    96       331.00  1      -1      0
2025-11-10 16:28:52      276     -1657  -963    96       297.60  1      -3      0
2025-11-10 16:28:53      311     -1617  -1042   96       236.07  0      -1      0
2025-11-10 16:28:55      387     -1686  -1124   96       181.58  -7     -4      0
2025-11-10 16:28:56      422     -1844  -1103   96       218.50  2      1       0
2025-11-10 16:28:57      457     -1821  -1233   96       292.32  2      -6      0
2025-11-10 16:28:58      492     -1810  -1326   96       334.51  -3     2       0
2025-11-10 16:28:59      527     -1733  -1265   96       56.65   1      0       0
2025-11-10 16:29:00      562     -1722  -1291   96       98.70   0      -1      0
2025-11-10 16:29:01      597     -1747  -1268   96       142.21  -3     2       0
2025-11-10 16:29:02      632     -1786  -1180   96       97.16   -1     5       0
2025-11-10 16:29:03      667     -1748  -1214   96       190.33  0      -2      0
2025-11-10 16:29:04      702     -1819  -1274   96       258.88  -2     -5      0
2025-11-10 16:29:05      737     -1864  -1508   96       264.16  -1     -8      0
2025-11-10 16:29:06      772     -1855  -1516   96       214.94  -1     1       0
2025-11-10 16:29:07      807     -1912  -1492   96       255.37  2      4       0
2025-11-10 16:29:08      842     -1880  -1449   96       18.41   2      0       0
2025-11-10 16:29:09      877     -1714  -1299   96       79.94   2      7       0
2025-11-10 16:29:10      912     -1651  -1040   96       173.10  0      1       0
2025-11-10 16:29:11      947     -1690  -899    96       99.27   -6     9       0
2025-11-10 16:29:12      982     -1771  -721    96       0.83    -1     0       0
2025-11-10 16:29:13      1017    -1747  -721    96       352.05  0      0       0
2025-11-10 16:29:14      1052    -1669  -731    96       339.74  0      -1      0
2025-11-10 16:29:15      1102    -1628  -747    96       345.01  5      -3      0
2025-11-10 16:29:16      1137    -1556  -771    96       0.83    0      -1      0
2025-11-10 16:29:17      1172    -1473  -775    88       350.29  3      -1      0
2025-11-10 16:29:18      1207    -1287  -875    88       329.19  6      -4      0
2025-11-10 16:29:19      1242    -1155  -940    88       44.78   1      -1      0
2025-11-10 16:29:20      1277    -1037  -865    88       2.59    6      1       0
2025-11-10 16:29:21      1312    -827   -842    88       78.18   1      2       0
2025-11-10 16:29:22      1347    -797   -752    88       81.69   0      0       0
2025-11-10 16:29:24      1390    -734   -771    88       339.74  8      -4      0
2025-11-10 16:29:25      1425    -592   -850    96       339.74  1      -3      0
2025-11-10 16:29:26      1460    -467   -850    96       13.14   10     3       0
2025-11-10 16:29:27      1495    -403   -786    96       90.48   -1     5       0
2025-11-10 16:29:28      1530    -404   -824    96       90.48   0      -9      0
2025-11-10 16:29:29      1565    -401   -897    96       106.30  0      -2      0
2025-11-10 16:29:30      1608    -401   -976    96       97.51   0      -1      0
2025-11-10 16:29:32      1687    -401   -962    96       93.94   0      0       0
2025-11-10 16:29:38      1852    -1436  -3261   64       47.81   3      4       0
2025-11-10 16:29:39      1887    -1361  -3260   64       279.49  0      -4      0
2025-11-10 16:29:40      1922    -1402  -3376   64       182.81  -2     -1      0
2025-11-10 16:29:41      1957    -1646  -3367   64       140.62  1      -2      0
2025-11-10 16:29:42      1992    -1602  -3326   64       21.09   0      0       0
