                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7f496e259010, 2000000 allocated for zone
Using /home/blurry/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/blurry/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/blurry/trajectory_doom/misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-10 12:00:46 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-10 12:00:46	 171	 -224	-624	0	 85.78	 -1	-2 	0
2025-11-10 12:00:48	 206	 -192	-594	0	 187.03	 -1	0 	0
2025-11-10 12:00:49	 241	 -281	-627	0	 2.81	 2	2 	0
2025-11-10 12:00:50	 276	 -26	-590	0	 104.06	 1	1 	0
2025-11-10 12:00:51	 311	 -103	-576	0	 97.03	 -12	-2 	0
2025-11-10 12:00:52	 346	 -376	-230	0	 91.41	 -3	15 	0
2025-11-10 12:00:53	 381	 -212	-270	-9	 82.97	 12	-12 	0
2025-11-10 12:00:54	 416	 -136	-150	0	 188.44	 -12	1 	5
When: 2025-11-10 12:00:54 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-10 12:00:56	 455	 1056	-3574	0	 67.15	 0	2 	0
2025-11-10 12:00:57	 490	 1076	-3542	0	 51.33	 0	0 	0
2025-11-10 12:00:59	 562	 1001	-3509	0	 158.55	 -7	2 	0
2025-11-10 12:01:00	 597	 832	-3496	0	 169.10	 -8	-1 	0
2025-11-10 12:01:01	 632	 722	-3466	0	 72.42	 0	3 	0
2025-11-10 12:01:02	 667	 762	-3235	0	 133.95	 -3	7 	0
2025-11-10 12:01:03	 702	 627	-3158	-8	 188.44	 -8	-1 	0
2025-11-10 12:01:04	 737	 352	-3194	-8	 170.86	 -15	1 	0
2025-11-10 12:01:05	 772	 186	-3026	-8	 332.23	 9	-2 	0
2025-11-10 12:01:06	 807	 172	-3063	-8	 203.91	 -5	-1 	0
2025-11-10 12:01:07	 842	 127	-3068	-8	 326.95	 -1	-1 	0
2025-11-10 12:01:10	 947	 239	-3069	-8	 300.59	 0	-2 	0
2025-11-10 12:01:11	 982	 239	-3175	-8	 16.17	 0	-1 	0
2025-11-10 12:01:12	 1017	 389	-3183	-8	 202.15	 0	-1 	0
2025-11-10 12:01:13	 1052	 332	-3216	8	 288.28	 -1	-1 	0
2025-11-10 12:01:15	 1100	 352	-3371	-8	 216.21	 -4	-12 	0
2025-11-10 12:01:16	 1135	 141	-3286	-8	 91.41	 0	1 	0
2025-11-10 12:01:18	 1217	 239	-3387	-8	 316.05	 1	-6 	0
2025-11-10 12:01:20	 1284	 382	-3403	-8	 26.37	 4	0 	0
2025-11-10 12:01:21	 1319	 432	-3438	-8	 342.42	 -1	-1 	0
2025-11-10 12:01:22	 1356	 506	-3215	-8	 1.76	 7	8 	0
2025-11-10 12:01:23	 1391	 808	-3258	0	 326.60	 2	-1 	0
2025-11-10 12:01:24	 1426	 790	-3372	0	 256.29	 -5	-13 	0
2025-11-10 12:01:25	 1461	 1024	-3533	0	 342.42	 11	-1 	0
2025-11-10 12:01:26	 1496	 1146	-3539	0	 236.95	 0	-1 	0
2025-11-10 12:01:27	 1531	 1040	-3643	0	 236.95	 0	-1 	0
2025-11-10 12:01:29	 1611	 1134	-3536	0	 49.22	 3	3 	0
2025-11-10 12:01:30	 1646	 1169	-3495	0	 135.35	 0	0 	0
2025-11-10 12:01:32	 1701	 1076	-3268	-16	 54.49	 -3	6 	0
2025-11-10 12:01:33	 1736	 1099	-3124	-16	 72.07	 2	4 	0
2025-11-10 12:01:34	 1771	 1187	-3038	0	 65.04	 2	2 	0
2025-11-10 12:01:35	 1806	 1153	-2940	0	 352.97	 3	1 	0
2025-11-10 12:01:36	 1841	 1329	-2802	0	 86.13	 0	12 	0
2025-11-10 12:01:37	 1876	 1445	-2468	0	 345.94	 2	1 	0
2025-11-10 12:01:38	 1911	 1472	-2457	0	 345.94	 0	-1 	0
2025-11-10 12:01:40	 1985	 1569	-2473	0	 358.24	 6	-1 	0
2025-11-10 12:01:41	 2020	 1839	-2467	0	 354.73	 8	0 	0
2025-11-10 12:01:42	 2055	 1943	-2471	0	 347.70	 -2	-1 	0
2025-11-10 12:01:45	 2162	 1938	-2464	0	 52.73	 2	2 	0
2025-11-10 12:01:46	 2197	 2184	-2321	16	 0.00	 4	0 	0
2025-11-10 12:01:47	 2232	 2253	-2358	24	 228.16	 -4	-4 	0
2025-11-10 12:01:48	 2267	 2287	-2461	24	 319.57	 0	-4 	0
2025-11-10 12:01:49	 2302	 2253	-2544	24	 198.28	 -5	-1 	0
2025-11-10 12:01:50	 2337	 2064	-2468	0	 103.36	 -5	6 	0
2025-11-10 12:01:51	 2372	 1977	-2207	0	 80.51	 -2	5 	0
2025-11-10 12:01:52	 2407	 1976	-2149	0	 10.20	 3	0 	0
2025-11-10 12:01:53	 2442	 2108	-2135	0	 301.64	 1	-3 	0
2025-11-10 12:01:54	 2477	 2235	-2254	0	 20.74	 5	1 	0
2025-11-10 12:01:55	 2512	 2479	-2206	0	 315.70	 0	-2 	0
2025-11-10 12:01:56	 2547	 2448	-2389	0	 248.91	 -3	-8 	0
2025-11-10 12:01:57	 2582	 2444	-2530	0	 299.88	 3	-6 	0
2025-11-10 12:01:58	 2617	 2542	-2638	-8	 343.83	 5	-3 	0
2025-11-10 12:01:59	 2652	 2641	-2674	-8	 336.80	 0	-1 	0
2025-11-10 12:02:02	 2761	 2729	-2631	-8	 350.86	 6	1 	0
2025-11-10 12:02:03	 2796	 2813	-2633	-16	 203.20	 -7	-4 	0
2025-11-10 12:02:04	 2831	 2673	-2768	-16	 352.62	 2	-1 	0
2025-11-10 12:02:05	 2866	 2852	-2787	-24	 308.67	 4	-3 	0
2025-11-10 12:02:06	 2901	 2974	-3000	-24	 273.52	 1	-8 	0
2025-11-10 12:02:07	 2936	 2982	-3282	-24	 306.91	 2	-9 	0
2025-11-10 12:02:08	 2971	 3071	-3408	-24	 347.34	 9	-3 	0
2025-11-10 12:02:09	 3006	 3256	-3457	-48	 262.97	 1	-1 	0
2025-11-10 12:02:10	 3041	 3055	-3596	-24	 201.45	 -6	-3 	0
2025-11-10 12:02:11	 3076	 2998	-3621	-24	 85.43	 -1	-1 	0
2025-11-10 12:02:13	 3163	 3006	-3602	-24	 11.60	 0	0 	0
2025-11-10 12:02:14	 3198	 2992	-3606	-24	 288.98	 1	-4 	0
2025-11-10 12:02:15	 3233	 3036	-3836	-24	 195.82	 -8	-3 	0
2025-11-10 12:02:16	 3268	 3023	-3909	-24	 345.23	 10	-3 	0
2025-11-10 12:02:17	 3303	 3040	-4000	-24	 234.49	 -2	0 	0
2025-11-10 12:02:18	 3338	 3055	-3960	-24	 220.43	 0	0 	0
2025-11-10 12:02:19	 3374	 3003	-4076	-24	 264.38	 -2	-3 	0
2025-11-10 12:02:20	 3409	 2990	-4103	-24	 297.77	 -1	-1 	0
2025-11-10 12:02:27	 3639	 2994	-4138	-24	 276.68	 0	-6 	0
2025-11-10 12:02:28	 3674	 3023	-4397	-24	 253.83	 0	-6 	0
2025-11-10 12:02:29	 3709	 3027	-4454	-24	 167.70	 0	-1 	0
2025-11-10 12:02:30	 3744	 2867	-4416	-24	 194.06	 -8	0 	0
