Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
	You may need to run the program as root in order
	to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-10 18:52:11 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-10 18:52:11	 171	 -224	-624	0	 85.78	 -1	-2 	0
2025-11-10 18:52:14	 206	 -192	-594	0	 187.03	 -1	0 	0
2025-11-10 18:52:15	 241	 -281	-627	0	 2.81	 2	2 	0
2025-11-10 18:52:16	 276	 -26	-590	0	 104.06	 1	1 	0
2025-11-10 18:52:17	 311	 -103	-576	0	 97.03	 -12	-2 	0
2025-11-10 18:52:18	 346	 -376	-230	0	 91.41	 -3	15 	0
2025-11-10 18:52:19	 381	 -212	-270	-9	 82.97	 12	-12 	0
2025-11-10 18:52:20	 416	 -136	-150	0	 188.44	 -12	1 	5
2025-11-10 18:52:21	 451	 -98	7	0	 33.75	 12	5 	5
2025-11-10 18:52:22	 486	 180	353	40	 87.19	 0	15 	0
2025-11-10 18:52:23	 521	 286	539	56	 133.59	 3	7 	0
2025-11-10 18:52:24	 556	 155	735	56	 156.09	 -6	0 	0
When: 2025-11-10 18:52:24 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-10 18:52:26	 592	 1056	-3636	0	 85.47	 -1	-1 	0
2025-11-10 18:52:27	 627	 1051	-3640	0	 114.57	 -1	0 	0
2025-11-10 18:52:28	 662	 1057	-3659	0	 121.29	 -1	-1 	0
2025-11-10 18:52:29	 702	 1062	-3663	0	 135.70	 0	-1 	0
2025-11-10 18:52:30	 749	 1035	-3613	0	 125.55	 -4	5 	0
2025-11-10 18:52:31	 784	 843	-3423	0	 127.13	 -6	6 	0
2025-11-10 18:52:32	 819	 659	-3267	-8	 177.19	 -9	2 	0
2025-11-10 18:52:33	 854	 361	-3248	-8	 179.87	 -9	-1 	0
2025-11-10 18:52:34	 889	 69	-3244	104	 181.49	 -9	-1 	0
2025-11-10 18:52:35	 924	 -223	-3238	128	 158.12	 -9	1 	0
2025-11-10 18:52:36	 959	 -271	-3269	104	 65.13	 1	-3 	0
2025-11-10 18:52:37	 994	 -82	-3216	104	 358.33	 8	0 	0
2025-11-10 18:52:38	 1029	 206	-3214	72	 347.78	 9	-1 	0
2025-11-10 18:52:39	 1064	 535	-3241	-8	 21.18	 8	0 	0
2025-11-10 18:52:40	 1099	 794	-3129	0	 63.37	 5	5 	0
2025-11-10 18:52:41	 1134	 868	-3007	0	 172.35	 -4	0 	0
2025-11-10 18:52:42	 1169	 735	-2995	0	 114.35	 2	-3 	0
2025-11-10 18:52:43	 1204	 823	-2961	0	 12.39	 5	0 	0
2025-11-10 18:52:44	 1239	 1062	-2916	0	 328.45	 7	-2 	0
2025-11-10 18:52:45	 1274	 1262	-3082	0	 245.83	 0	-8 	0
2025-11-10 18:52:46	 1309	 1119	-3227	-16	 185.67	 -8	0 	0
2025-11-10 18:52:47	 1344	 1042	-3292	-16	 273.56	 -1	-7 	0
2025-11-10 18:52:48	 1379	 1055	-3568	0	 273.56	 0	-9 	0
2025-11-10 18:52:49	 1414	 1040	-3664	0	 250.71	 -1	-1 	0
2025-11-10 18:52:50	 1456	 1034	-3559	0	 277.08	 -1	7 	0
2025-11-10 18:52:51	 1491	 1016	-3426	0	 254.22	 -1	-6 	0
2025-11-10 18:52:52	 1526	 917	-3586	0	 148.84	 -5	3 	0
2025-11-10 18:52:53	 1561	 752	-3472	0	 162.91	 2	-1 	0
2025-11-10 18:52:54	 1596	 805	-3482	0	 159.39	 -5	3 	0
2025-11-10 18:52:55	 1631	 720	-3522	0	 257.83	 -1	-6 	0
2025-11-10 18:52:56	 1667	 766	-3381	0	 205.09	 0	3 	0
2025-11-10 18:52:57	 1702	 684	-3316	0	 180.48	 -6	1 	0
